dg_id,dg_name,dg_atc_codes,dg_atc_levels
DB00095,Efalizumab,['L04AA21'],"[['L04AA', 'L04A', 'L04', 'L']]"
DB00097,Choriogonadotropin alfa,['G03GA08'],"[['G03GA', 'G03G', 'G03', 'G']]"
DB00098,Antithymocyte immunoglobulin (rabbit),['L04AA04'],"[['L04AA', 'L04A', 'L04', 'L']]"
DB00099,Filgrastim,['L03AA02'],"[['L03AA', 'L03A', 'L03', 'L']]"
DB00102,Becaplermin,"['D03AX06', 'A01AD08']","[['D03AX', 'D03A', 'D03', 'D'], ['A01AD', 'A01A', 'A01', 'A']]"
DB00103,Agalsidase beta,['A16AB04'],"[['A16AB', 'A16A', 'A16', 'A']]"
DB00104,Octreotide,['H01CB02'],"[['H01CB', 'H01C', 'H01', 'H']]"
DB00105,Interferon alfa-2b,['L03AB05'],"[['L03AB', 'L03A', 'L03', 'L']]"
DB00106,Abarelix,['L02BX01'],"[['L02BX', 'L02B', 'L02', 'L']]"
DB00107,Oxytocin,"['G02AC01', 'H01BB02']","[['G02AC', 'G02A', 'G02', 'G'], ['H01BB', 'H01B', 'H01', 'H']]"
DB00108,Natalizumab,['L04AA23'],"[['L04AA', 'L04A', 'L04', 'L']]"
DB00110,Palivizumab,['J06BD01'],"[['J06BD', 'J06B', 'J06', 'J']]"
DB00111,Daclizumab,['L04AC01'],"[['L04AC', 'L04A', 'L04', 'L']]"
DB00112,Bevacizumab,"['L01FG01', 'S01LA08']","[['L01FG', 'L01F', 'L01', 'L'], ['S01LA', 'S01L', 'S01', 'S']]"
DB00113,Technetium Tc-99m arcitumomab,['V09IA06'],"[['V09IA', 'V09I', 'V09', 'V']]"
DB00114,Pyridoxal phosphate,['A11HA06'],"[['A11HA', 'A11H', 'A11', 'A']]"
DB00115,Cyanocobalamin,"['B03BA01', 'B03AE01', 'B03BA51']","[['B03BA', 'B03B', 'B03', 'B'], ['B03AE', 'B03A', 'B03', 'B'], ['B03BA', 'B03B', 'B03', 'B']]"
DB00118,Ademetionine,['A16AA02'],"[['A16AA', 'A16A', 'A16', 'A']]"
DB00121,Biotin,['A11HA05'],"[['A11HA', 'A11H', 'A11', 'A']]"
DB00123,Lysine,"['V03AF11', 'B05XB03']","[['V03AF', 'V03A', 'V03', 'V'], ['B05XB', 'B05X', 'B05', 'B']]"
DB00125,Arginine,"['V03AF11', 'B05XB01']","[['V03AF', 'V03A', 'V03', 'V'], ['B05XB', 'B05X', 'B05', 'B']]"
DB00126,Ascorbic acid,"['G01AD03', 'A11GA01', 'A11GB01', 'S01XA15']","[['G01AD', 'G01A', 'G01', 'G'], ['A11GA', 'A11G', 'A11', 'A'], ['A11GB', 'A11G', 'A11', 'A'], ['S01XA', 'S01X', 'S01', 'S']]"
DB00129,Ornithine,['A05BA06'],"[['A05BA', 'A05B', 'A05', 'A']]"
DB00130,L-Glutamine,['A16AA03'],"[['A16AA', 'A16A', 'A16', 'A']]"
DB00134,Methionine,['V03AB26'],"[['V03AB', 'V03A', 'V03', 'V']]"
DB00136,Calcitriol,"['D05AX03', 'A11CC04']","[['D05AX', 'D05A', 'D05', 'D'], ['A11CC', 'A11C', 'A11', 'A']]"
DB00140,Riboflavin,"['A11HA04', 'S01XA26']","[['A11HA', 'A11H', 'A11', 'A'], ['S01XA', 'S01X', 'S01', 'S']]"
DB00142,Glutamic acid,['A09AB01'],"[['A09AB', 'A09A', 'A09', 'A']]"
DB00143,Glutathione,['V03AB32'],"[['V03AB', 'V03A', 'V03', 'V']]"
DB00145,Glycine,['B05CX03'],"[['B05CX', 'B05C', 'B05', 'B']]"
DB00146,Calcifediol,"['A11CC06', 'H05BX05']","[['A11CC', 'A11C', 'A11', 'A'], ['H05BX', 'H05B', 'H05', 'H']]"
DB00150,Tryptophan,['N06AX02'],"[['N06AX', 'N06A', 'N06', 'N']]"
DB00152,Thiamine,['A11DA01'],"[['A11DA', 'A11D', 'A11', 'A']]"
DB00153,Ergocalciferol,['A11CC01'],"[['A11CC', 'A11C', 'A11', 'A']]"
DB00158,Folic acid,"['B03AE02', 'B03AD04', 'V04CX02', 'B03AD01', 'B03BB51', 'B03AD03', 'B03BB01', 'B03AE01', 'B03AD05', 'B03AD02']","[['B03AE', 'B03A', 'B03', 'B'], ['B03AD', 'B03A', 'B03', 'B'], ['V04CX', 'V04C', 'V04', 'V'], ['B03AD', 'B03A', 'B03', 'B'], ['B03BB', 'B03B', 'B03', 'B'], ['B03AD', 'B03A', 'B03', 'B'], ['B03BB', 'B03B', 'B03', 'B'], ['B03AE', 'B03A', 'B03', 'B'], ['B03AD', 'B03A', 'B03', 'B'], ['B03AD', 'B03A', 'B03', 'B']]"
DB00162,Vitamin A,"['S01XA02', 'V04CB01', 'D10AD02', 'R01AX02', 'A11CA01']","[['S01XA', 'S01X', 'S01', 'S'], ['V04CB', 'V04C', 'V04', 'V'], ['D10AD', 'D10A', 'D10', 'D'], ['R01AX', 'R01A', 'R01', 'R'], ['A11CA', 'A11C', 'A11', 'A']]"
DB00165,Pyridoxine,"['J04AM08', 'A11HA02']","[['J04AM', 'J04A', 'J04', 'J'], ['A11HA', 'A11H', 'A11', 'A']]"
DB00166,Lipoic acid,['A16AX01'],"[['A16AX', 'A16A', 'A16', 'A']]"
DB00169,Cholecalciferol,"['M05BB09', 'M05BX53', 'M05BB07', 'M05BB08', 'A11CC55', 'M05BB05', 'A11CC05', 'M05BB03', 'M05BB04']","[['M05BB', 'M05B', 'M05', 'M'], ['M05BX', 'M05B', 'M05', 'M'], ['M05BB', 'M05B', 'M05', 'M'], ['M05BB', 'M05B', 'M05', 'M'], ['A11CC', 'A11C', 'A11', 'A'], ['M05BB', 'M05B', 'M05', 'M'], ['A11CC', 'A11C', 'A11', 'A'], ['M05BB', 'M05B', 'M05', 'M'], ['M05BB', 'M05B', 'M05', 'M']]"
DB00170,Menadione,['B02BA02'],"[['B02BA', 'B02B', 'B02', 'B']]"
DB00175,Pravastatin,"['C10AA03', 'C10BA11', 'C10BA03', 'C10BA12', 'C10BX02']","[['C10AA', 'C10A', 'C10', 'C'], ['C10BA', 'C10B', 'C10', 'C'], ['C10BA', 'C10B', 'C10', 'C'], ['C10BA', 'C10B', 'C10', 'C'], ['C10BX', 'C10B', 'C10', 'C']]"
DB00176,Fluvoxamine,['N06AB08'],"[['N06AB', 'N06A', 'N06', 'N']]"
DB00177,Valsartan,"['C09DX05', 'C10BX10', 'C09DA03', 'C09CA03', 'C09DX02', 'C09DX01', 'C09DB08', 'C09DB01', 'C09DX04']","[['C09DX', 'C09D', 'C09', 'C'], ['C10BX', 'C10B', 'C10', 'C'], ['C09DA', 'C09D', 'C09', 'C'], ['C09CA', 'C09C', 'C09', 'C'], ['C09DX', 'C09D', 'C09', 'C'], ['C09DX', 'C09D', 'C09', 'C'], ['C09DB', 'C09D', 'C09', 'C'], ['C09DB', 'C09D', 'C09', 'C'], ['C09DX', 'C09D', 'C09', 'C']]"
DB00178,Ramipril,"['C09BX03', 'C10BX04', 'C09BB05', 'C09AA05', 'C10BX18', 'C10BX17', 'C09BB07', 'C09BX05', 'C10BX06', 'C09BA05']","[['C09BX', 'C09B', 'C09', 'C'], ['C10BX', 'C10B', 'C10', 'C'], ['C09BB', 'C09B', 'C09', 'C'], ['C09AA', 'C09A', 'C09', 'C'], ['C10BX', 'C10B', 'C10', 'C'], ['C10BX', 'C10B', 'C10', 'C'], ['C09BB', 'C09B', 'C09', 'C'], ['C09BX', 'C09B', 'C09', 'C'], ['C10BX', 'C10B', 'C10', 'C'], ['C09BA', 'C09B', 'C09', 'C']]"
DB00179,Masoprocol,['L01XX10'],"[['L01XX', 'L01X', 'L01', 'L']]"
DB00180,Flunisolide,"['R01AD04', 'R03BA03']","[['R01AD', 'R01A', 'R01', 'R'], ['R03BA', 'R03B', 'R03', 'R']]"
DB00181,Baclofen,['M03BX01'],"[['M03BX', 'M03B', 'M03', 'M']]"
DB00182,Amphetamine,['N06BA01'],"[['N06BA', 'N06B', 'N06', 'N']]"
DB00183,Pentagastrin,['V04CG04'],"[['V04CG', 'V04C', 'V04', 'V']]"
DB00184,Nicotine,['N07BA01'],"[['N07BA', 'N07B', 'N07', 'N']]"
DB00185,Cevimeline,['N07AX03'],"[['N07AX', 'N07A', 'N07', 'N']]"
DB00186,Lorazepam,"['N05BA56', 'N05BA06']","[['N05BA', 'N05B', 'N05', 'N'], ['N05BA', 'N05B', 'N05', 'N']]"
DB00187,Esmolol,['C07AB09'],"[['C07AB', 'C07A', 'C07', 'C']]"
DB00188,Bortezomib,['L01XG01'],"[['L01XG', 'L01X', 'L01', 'L']]"
DB00189,Ethchlorvynol,['N05CM08'],"[['N05CM', 'N05C', 'N05', 'N']]"
DB00191,Phentermine,"['A08AA01', 'A08AA51']","[['A08AA', 'A08A', 'A08', 'A'], ['A08AA', 'A08A', 'A08', 'A']]"
DB00193,Tramadol,"['N02AJ16', 'N02AJ13', 'N02AJ14', 'N02AX02']","[['N02AJ', 'N02A', 'N02', 'N'], ['N02AJ', 'N02A', 'N02', 'N'], ['N02AJ', 'N02A', 'N02', 'N'], ['N02AX', 'N02A', 'N02', 'N']]"
DB00195,Betaxolol,"['S01ED02', 'C07AB05', 'S01ED52']","[['S01ED', 'S01E', 'S01', 'S'], ['C07AB', 'C07A', 'C07', 'C'], ['S01ED', 'S01E', 'S01', 'S']]"
DB00197,Troglitazone,['A10BG01'],"[['A10BG', 'A10B', 'A10', 'A']]"
DB00198,Oseltamivir,['J05AH02'],"[['J05AH', 'J05A', 'J05', 'J']]"
DB00199,Erythromycin,"['J01FA01', 'D10AF02', 'S01AA17', 'D10AF52']","[['J01FA', 'J01F', 'J01', 'J'], ['D10AF', 'D10A', 'D10', 'D'], ['S01AA', 'S01A', 'S01', 'S'], ['D10AF', 'D10A', 'D10', 'D']]"
DB00200,Hydroxocobalamin,"['B03BA53', 'V03AB33', 'B03BA03']","[['B03BA', 'B03B', 'B03', 'B'], ['V03AB', 'V03A', 'V03', 'V'], ['B03BA', 'B03B', 'B03', 'B']]"
DB00201,Caffeine,"['D11AX26', 'R03DA20', 'V04CG30', 'N06BC01']","[['D11AX', 'D11A', 'D11', 'D'], ['R03DA', 'R03D', 'R03', 'R'], ['V04CG', 'V04C', 'V04', 'V'], ['N06BC', 'N06B', 'N06', 'N']]"
DB00202,Succinylcholine,['M03AB01'],"[['M03AB', 'M03A', 'M03', 'M']]"
DB00203,Sildenafil,"['G01AE10', 'G04BE03']","[['G01AE', 'G01A', 'G01', 'G'], ['G04BE', 'G04B', 'G04', 'G']]"
DB00204,Dofetilide,['C01BD04'],"[['C01BD', 'C01B', 'C01', 'C']]"
DB00205,Pyrimethamine,"['P01BF09', 'P01BD01', 'P01BD51', 'P01BF04']","[['P01BF', 'P01B', 'P01', 'P'], ['P01BD', 'P01B', 'P01', 'P'], ['P01BD', 'P01B', 'P01', 'P'], ['P01BF', 'P01B', 'P01', 'P']]"
DB00206,Reserpine,"['C02LA51', 'C02AA02', 'C02LA01', 'C02LA71', 'C02AA52']","[['C02LA', 'C02L', 'C02', 'C'], ['C02AA', 'C02A', 'C02', 'C'], ['C02LA', 'C02L', 'C02', 'C'], ['C02LA', 'C02L', 'C02', 'C'], ['C02AA', 'C02A', 'C02', 'C']]"
DB00207,Azithromycin,"['J01RA07', 'S01AA26', 'J01FA10', 'J01RA16']","[['J01RA', 'J01R', 'J01', 'J'], ['S01AA', 'S01A', 'S01', 'S'], ['J01FA', 'J01F', 'J01', 'J'], ['J01RA', 'J01R', 'J01', 'J']]"
DB00208,Ticlopidine,['B01AC05'],"[['B01AC', 'B01A', 'B01', 'B']]"
DB00209,Trospium,"['A03DA06', 'G04BD09']","[['A03DA', 'A03D', 'A03', 'A'], ['G04BD', 'G04B', 'G04', 'G']]"
DB00210,Adapalene,"['D10AD03', 'D10AD53']","[['D10AD', 'D10A', 'D10', 'D'], ['D10AD', 'D10A', 'D10', 'D']]"
DB00211,Midodrine,['C01CA17'],"[['C01CA', 'C01C', 'C01', 'C']]"
DB00212,Remikiren,['C09XA01'],"[['C09XA', 'C09X', 'C09', 'C']]"
DB00213,Pantoprazole,"['A02BD04', 'A02BD11', 'A02BC02']","[['A02BD', 'A02B', 'A02', 'A'], ['A02BD', 'A02B', 'A02', 'A'], ['A02BC', 'A02B', 'A02', 'A']]"
DB00214,Torasemide,"['C03CA04', 'G01AE10']","[['C03CA', 'C03C', 'C03', 'C'], ['G01AE', 'G01A', 'G01', 'G']]"
DB00215,Citalopram,['N06AB04'],"[['N06AB', 'N06A', 'N06', 'N']]"
DB00216,Eletriptan,['N02CC06'],"[['N02CC', 'N02C', 'N02', 'N']]"
DB00217,Bethanidine,['C02CC01'],"[['C02CC', 'C02C', 'C02', 'C']]"
DB00218,Moxifloxacin,"['S01AE07', 'J01MA14']","[['S01AE', 'S01A', 'S01', 'S'], ['J01MA', 'J01M', 'J01', 'J']]"
DB00219,Oxyphenonium,"['A03AB53', 'A03AB03']","[['A03AB', 'A03A', 'A03', 'A'], ['A03AB', 'A03A', 'A03', 'A']]"
DB00221,Isoetharine,"['R03CC06', 'R03AC07']","[['R03CC', 'R03C', 'R03', 'R'], ['R03AC', 'R03A', 'R03', 'R']]"
DB00222,Glimepiride,"['A10BD04', 'A10BB12', 'A10BD06']","[['A10BD', 'A10B', 'A10', 'A'], ['A10BB', 'A10B', 'A10', 'A'], ['A10BD', 'A10B', 'A10', 'A']]"
DB00223,Diflorasone,['D07AC10'],"[['D07AC', 'D07A', 'D07', 'D']]"
DB00227,Lovastatin,"['C10AA02', 'C10BA01']","[['C10AA', 'C10A', 'C10', 'C'], ['C10BA', 'C10B', 'C10', 'C']]"
DB00228,Enflurane,['N01AB04'],"[['N01AB', 'N01A', 'N01', 'N']]"
DB00230,Pregabalin,['N02BF02'],"[['N02BF', 'N02B', 'N02', 'N']]"
DB00231,Temazepam,['N05CD07'],"[['N05CD', 'N05C', 'N05', 'N']]"
DB00232,Methyclothiazide,"['C03AA08', 'C03AB08']","[['C03AA', 'C03A', 'C03', 'C'], ['C03AB', 'C03A', 'C03', 'C']]"
DB00233,Aminosalicylic acid,"['J04AA02', 'J04AA03', 'J04AA01']","[['J04AA', 'J04A', 'J04', 'J'], ['J04AA', 'J04A', 'J04', 'J'], ['J04AA', 'J04A', 'J04', 'J']]"
DB00234,Reboxetine,['N06AX18'],"[['N06AX', 'N06A', 'N06', 'N']]"
DB00235,Milrinone,['C01CE02'],"[['C01CE', 'C01C', 'C01', 'C']]"
DB00236,Pipobroman,['L01AX02'],"[['L01AX', 'L01A', 'L01', 'L']]"
DB00237,Butabarbital,['N05CB01'],"[['N05CB', 'N05C', 'N05', 'N']]"
DB00239,Oxiconazole,"['D01AC11', 'G01AF17', 'G01AF20']","[['D01AC', 'D01A', 'D01', 'D'], ['G01AF', 'G01A', 'G01', 'G'], ['G01AF', 'G01A', 'G01', 'G']]"
DB00240,Alclometasone,"['D07AB10', 'S01BA10']","[['D07AB', 'D07A', 'D07', 'D'], ['S01BA', 'S01B', 'S01', 'S']]"
DB00241,Butalbital,['N05CB01'],"[['N05CB', 'N05C', 'N05', 'N']]"
DB00242,Cladribine,"['L04AA40', 'L01BB04']","[['L04AA', 'L04A', 'L04', 'L'], ['L01BB', 'L01B', 'L01', 'L']]"
DB00243,Ranolazine,['C01EB18'],"[['C01EB', 'C01E', 'C01', 'C']]"
DB00244,Mesalazine,['A07EC02'],"[['A07EC', 'A07E', 'A07', 'A']]"
DB00245,Benzatropine,['N04AC01'],"[['N04AC', 'N04A', 'N04', 'N']]"
DB00246,Ziprasidone,['N05AE04'],"[['N05AE', 'N05A', 'N05', 'N']]"
DB00247,Methysergide,['N02CA04'],"[['N02CA', 'N02C', 'N02', 'N']]"
DB00248,Cabergoline,"['N04BC06', 'G02CB03']","[['N04BC', 'N04B', 'N04', 'N'], ['G02CB', 'G02C', 'G02', 'G']]"
DB00249,Idoxuridine,"['D06BB01', 'J05AB02', 'S01AD01']","[['D06BB', 'D06B', 'D06', 'D'], ['J05AB', 'J05A', 'J05', 'J'], ['S01AD', 'S01A', 'S01', 'S']]"
DB00252,Phenytoin,"['N03AB02', 'N03AB52']","[['N03AB', 'N03A', 'N03', 'N'], ['N03AB', 'N03A', 'N03', 'N']]"
DB00253,Medrysone,['S01BA08'],"[['S01BA', 'S01B', 'S01', 'S']]"
DB00255,Diethylstilbestrol,"['L02AA04', 'L02AA01', 'G03CC05', 'G03CB02']","[['L02AA', 'L02A', 'L02', 'L'], ['L02AA', 'L02A', 'L02', 'L'], ['G03CC', 'G03C', 'G03', 'G'], ['G03CB', 'G03C', 'G03', 'G']]"
DB00257,Clotrimazole,"['D01AC01', 'A01AB18', 'G01AF02', 'G01AF20']","[['D01AC', 'D01A', 'D01', 'D'], ['A01AB', 'A01A', 'A01', 'A'], ['G01AF', 'G01A', 'G01', 'G'], ['G01AF', 'G01A', 'G01', 'G']]"
DB00258,Calcium acetate,"['V03AE04', 'A11GB01', 'V03AE07']","[['V03AE', 'V03A', 'V03', 'V'], ['A11GB', 'A11G', 'A11', 'A'], ['V03AE', 'V03A', 'V03', 'V']]"
DB00261,Anagrelide,['L01XX35'],"[['L01XX', 'L01X', 'L01', 'L']]"
DB00262,Carmustine,['L01AD01'],"[['L01AD', 'L01A', 'L01', 'L']]"
DB00264,Metoprolol,"['C07FB02', 'C07FX05', 'C07FX03', 'C07FB13', 'C07AB02', 'C07BB52', 'C07CB02', 'C07BB02']","[['C07FB', 'C07F', 'C07', 'C'], ['C07FX', 'C07F', 'C07', 'C'], ['C07FX', 'C07F', 'C07', 'C'], ['C07FB', 'C07F', 'C07', 'C'], ['C07AB', 'C07A', 'C07', 'C'], ['C07BB', 'C07B', 'C07', 'C'], ['C07CB', 'C07C', 'C07', 'C'], ['C07BB', 'C07B', 'C07', 'C']]"
DB00266,Dicoumarol,['B01AA01'],"[['B01AA', 'B01A', 'B01', 'B']]"
DB00268,Ropinirole,['N04BC04'],"[['N04BC', 'N04B', 'N04', 'N']]"
DB00269,Chlorotrianisene,['G03CA06'],"[['G03CA', 'G03C', 'G03', 'G']]"
DB00270,Isradipine,['C08CA03'],"[['C08CA', 'C08C', 'C08', 'C']]"
DB00272,Betazole,['V04CG02'],"[['V04CG', 'V04C', 'V04', 'V']]"
DB00273,Topiramate,"['A08AA51', 'N03AX11']","[['A08AA', 'A08A', 'A08', 'A'], ['N03AX', 'N03A', 'N03', 'N']]"
DB00275,Olmesartan,"['C09DA08', 'C09DX03', 'C09CA08', 'C09DB02']","[['C09DA', 'C09D', 'C09', 'C'], ['C09DX', 'C09D', 'C09', 'C'], ['C09CA', 'C09C', 'C09', 'C'], ['C09DB', 'C09D', 'C09', 'C']]"
