dg_id,dg_name,dg_atc_codes,dg_atc_levels,kegg_cid
DB00198,Oseltamivir,['J05AH02'],"[['J05AH', 'J05A', 'J05', 'J']]",C08092
DB00199,Erythromycin,"['J01FA01', 'D10AF02', 'S01AA17', 'D10AF52']","[['J01FA', 'J01F', 'J01', 'J'], ['D10AF', 'D10A', 'D10', 'D'], ['S01AA', 'S01A', 'S01', 'S'], ['D10AF', 'D10A', 'D10', 'D']]",C01912
DB00200,Hydroxocobalamin,"['B03BA53', 'V03AB33', 'B03BA03']","[['B03BA', 'B03B', 'B03', 'B'], ['V03AB', 'V03A', 'V03', 'V'], ['B03BA', 'B03B', 'B03', 'B']]",C08230
DB00201,Caffeine,"['D11AX26', 'R03DA20', 'V04CG30', 'N06BC01']","[['D11AX', 'D11A', 'D11', 'D'], ['R03DA', 'R03D', 'R03', 'R'], ['V04CG', 'V04C', 'V04', 'V'], ['N06BC', 'N06B', 'N06', 'N']]",C07481
DB00202,Succinylcholine,['M03AB01'],"[['M03AB', 'M03A', 'M03', 'M']]",C07546
DB00203,Sildenafil,"['G01AE10', 'G04BE03']","[['G01AE', 'G01A', 'G01', 'G'], ['G04BE', 'G04B', 'G04', 'G']]",C07259
DB00204,Dofetilide,['C01BD04'],"[['C01BD', 'C01B', 'C01', 'C']]",C07751
DB00205,Pyrimethamine,"['P01BF09', 'P01BD01', 'P01BD51', 'P01BF04']","[['P01BF', 'P01B', 'P01', 'P'], ['P01BD', 'P01B', 'P01', 'P'], ['P01BD', 'P01B', 'P01', 'P'], ['P01BF', 'P01B', 'P01', 'P']]",C07391
DB00206,Reserpine,"['C02LA51', 'C02AA02', 'C02LA01', 'C02LA71', 'C02AA52']","[['C02LA', 'C02L', 'C02', 'C'], ['C02AA', 'C02A', 'C02', 'C'], ['C02LA', 'C02L', 'C02', 'C'], ['C02LA', 'C02L', 'C02', 'C'], ['C02AA', 'C02A', 'C02', 'C']]",C06539
DB00207,Azithromycin,"['J01RA07', 'S01AA26', 'J01FA10', 'J01RA16']","[['J01RA', 'J01R', 'J01', 'J'], ['S01AA', 'S01A', 'S01', 'S'], ['J01FA', 'J01F', 'J01', 'J'], ['J01RA', 'J01R', 'J01', 'J']]",C06838
DB00208,Ticlopidine,['B01AC05'],"[['B01AC', 'B01A', 'B01', 'B']]",C07140
DB00211,Midodrine,['C01CA17'],"[['C01CA', 'C01C', 'C01', 'C']]",C07890
DB00212,Remikiren,['C09XA01'],"[['C09XA', 'C09X', 'C09', 'C']]",C07465
DB00213,Pantoprazole,"['A02BD04', 'A02BD11', 'A02BC02']","[['A02BD', 'A02B', 'A02', 'A'], ['A02BD', 'A02B', 'A02', 'A'], ['A02BC', 'A02B', 'A02', 'A']]",C11806
DB00215,Citalopram,['N06AB04'],"[['N06AB', 'N06A', 'N06', 'N']]",C07572
DB00218,Moxifloxacin,"['S01AE07', 'J01MA14']","[['S01AE', 'S01A', 'S01', 'S'], ['J01MA', 'J01M', 'J01', 'J']]",C07663
DB00221,Isoetharine,"['R03CC06', 'R03AC07']","[['R03CC', 'R03C', 'R03', 'R'], ['R03AC', 'R03A', 'R03', 'R']]",C07053
DB00222,Glimepiride,"['A10BD04', 'A10BB12', 'A10BD06']","[['A10BD', 'A10B', 'A10', 'A'], ['A10BB', 'A10B', 'A10', 'A'], ['A10BD', 'A10B', 'A10', 'A']]",C07669
DB00227,Lovastatin,"['C10AA02', 'C10BA01']","[['C10AA', 'C10A', 'C10', 'C'], ['C10BA', 'C10B', 'C10', 'C']]",C07074
DB00228,Enflurane,['N01AB04'],"[['N01AB', 'N01A', 'N01', 'N']]",C07516
DB00231,Temazepam,['N05CD07'],"[['N05CD', 'N05C', 'N05', 'N']]",C07125
DB00232,Methyclothiazide,"['C03AA08', 'C03AB08']","[['C03AA', 'C03A', 'C03', 'C'], ['C03AB', 'C03A', 'C03', 'C']]",C07765
DB00233,Aminosalicylic acid,"['J04AA02', 'J04AA03', 'J04AA01']","[['J04AA', 'J04A', 'J04', 'J'], ['J04AA', 'J04A', 'J04', 'J'], ['J04AA', 'J04A', 'J04', 'J']]",C02518
DB00235,Milrinone,['C01CE02'],"[['C01CE', 'C01C', 'C01', 'C']]",C07224
DB00236,Pipobroman,['L01AX02'],"[['L01AX', 'L01A', 'L01', 'L']]",C07362
DB00237,Butabarbital,['N05CB01'],"[['N05CB', 'N05C', 'N05', 'N']]",C07827
DB00239,Oxiconazole,"['D01AC11', 'G01AF17', 'G01AF20']","[['D01AC', 'D01A', 'D01', 'D'], ['G01AF', 'G01A', 'G01', 'G'], ['G01AF', 'G01A', 'G01', 'G']]",C08074
DB00245,Benzatropine,['N04AC01'],"[['N04AC', 'N04A', 'N04', 'N']]",C06846
DB00246,Ziprasidone,['N05AE04'],"[['N05AE', 'N05A', 'N05', 'N']]",C07568
DB00247,Methysergide,['N02CA04'],"[['N02CA', 'N02C', 'N02', 'N']]",C07199
DB00248,Cabergoline,"['N04BC06', 'G02CB03']","[['N04BC', 'N04B', 'N04', 'N'], ['G02CB', 'G02C', 'G02', 'G']]",C08187
DB00252,Phenytoin,"['N03AB02', 'N03AB52']","[['N03AB', 'N03A', 'N03', 'N'], ['N03AB', 'N03A', 'N03', 'N']]",C07443
DB00253,Medrysone,['S01BA08'],"[['S01BA', 'S01B', 'S01', 'S']]",C14643
DB00255,Diethylstilbestrol,"['L02AA04', 'L02AA01', 'G03CC05', 'G03CB02']","[['L02AA', 'L02A', 'L02', 'L'], ['L02AA', 'L02A', 'L02', 'L'], ['G03CC', 'G03C', 'G03', 'G'], ['G03CB', 'G03C', 'G03', 'G']]",C07620
DB00257,Clotrimazole,"['D01AC01', 'A01AB18', 'G01AF02', 'G01AF20']","[['D01AC', 'D01A', 'D01', 'D'], ['A01AB', 'A01A', 'A01', 'A'], ['G01AF', 'G01A', 'G01', 'G'], ['G01AF', 'G01A', 'G01', 'G']]",C06922
DB00262,Carmustine,['L01AD01'],"[['L01AD', 'L01A', 'L01', 'L']]",C06873
DB00264,Metoprolol,"['C07FB02', 'C07FX05', 'C07FX03', 'C07FB13', 'C07AB02', 'C07BB52', 'C07CB02', 'C07BB02']","[['C07FB', 'C07F', 'C07', 'C'], ['C07FX', 'C07F', 'C07', 'C'], ['C07FX', 'C07F', 'C07', 'C'], ['C07FB', 'C07F', 'C07', 'C'], ['C07AB', 'C07A', 'C07', 'C'], ['C07BB', 'C07B', 'C07', 'C'], ['C07CB', 'C07C', 'C07', 'C'], ['C07BB', 'C07B', 'C07', 'C']]",C07202
DB00266,Dicoumarol,['B01AA01'],"[['B01AA', 'B01A', 'B01', 'B']]",C00796
DB00268,Ropinirole,['N04BC04'],"[['N04BC', 'N04B', 'N04', 'N']]",C07564
DB00273,Topiramate,"['A08AA51', 'N03AX11']","[['A08AA', 'A08A', 'A08', 'A'], ['N03AX', 'N03A', 'N03', 'N']]",C07502
DB00276,Amsacrine,['L01XX01'],"[['L01XX', 'L01X', 'L01', 'L']]",C01553
DB00277,Theophylline,"['R03DA54', 'R03DA74', 'R03DA20', 'R03DA04', 'R03DB04']","[['R03DA', 'R03D', 'R03', 'R'], ['R03DA', 'R03D', 'R03', 'R'], ['R03DA', 'R03D', 'R03', 'R'], ['R03DA', 'R03D', 'R03', 'R'], ['R03DB', 'R03D', 'R03', 'R']]",C07130
DB00278,Argatroban,['B01AE03'],"[['B01AE', 'B01A', 'B01', 'B']]",C04931
DB00279,Liothyronine,"['H03AA03', 'H03AA02']","[['H03AA', 'H03A', 'H03', 'H'], ['H03AA', 'H03A', 'H03', 'H']]",C02465
DB00280,Disopyramide,['C01BA03'],"[['C01BA', 'C01B', 'C01', 'C']]",C06965
DB00281,Lidocaine,"['S01HA07', 'D04AB01', 'R02AD02', 'C01BB01', 'S02DA01', 'N01BB52', 'C05AD01', 'N01BB02']","[['S01HA', 'S01H', 'S01', 'S'], ['D04AB', 'D04A', 'D04', 'D'], ['R02AD', 'R02A', 'R02', 'R'], ['C01BB', 'C01B', 'C01', 'C'], ['S02DA', 'S02D', 'S02', 'S'], ['N01BB', 'N01B', 'N01', 'N'], ['C05AD', 'C05A', 'C05', 'C'], ['N01BB', 'N01B', 'N01', 'N']]",C07073
DB00282,Pamidronic acid,['M05BA03'],"[['M05BA', 'M05B', 'M05', 'M']]",C07395
DB00283,Clemastine,"['D04AA14', 'R06AA54', 'R06AA04']","[['D04AA', 'D04A', 'D04', 'D'], ['R06AA', 'R06A', 'R06', 'R'], ['R06AA', 'R06A', 'R06', 'R']]",C06913
DB00284,Acarbose,"['A10BD17', 'A10BF01']","[['A10BD', 'A10B', 'A10', 'A'], ['A10BF', 'A10B', 'A10', 'A']]",C06802
DB00285,Venlafaxine,['N06AX16'],"[['N06AX', 'N06A', 'N06', 'N']]",C07187
DB00290,Bleomycin,['L01DC01'],"[['L01DC', 'L01D', 'L01', 'L']]",C06854
DB00291,Chlorambucil,['L01AA02'],"[['L01AA', 'L01A', 'L01', 'L']]",C06900
DB00292,Etomidate,['N01AX07'],"[['N01AX', 'N01A', 'N01', 'N']]",C07522
DB00293,Raltitrexed,['L01BA03'],"[['L01BA', 'L01B', 'L01', 'L']]",C11372
DB00295,Morphine,"['A07DA52', 'N02AA51', 'N02AA01', 'N02AG01']","[['A07DA', 'A07D', 'A07', 'A'], ['N02AA', 'N02A', 'N02', 'N'], ['N02AA', 'N02A', 'N02', 'N'], ['N02AG', 'N02A', 'N02', 'N']]",C01516
DB00296,Ropivacaine,['N01BB09'],"[['N01BB', 'N01B', 'N01', 'N']]",C07532
DB00297,Bupivacaine,"['N01BB01', 'N01BB59', 'N01BB51']","[['N01BB', 'N01B', 'N01', 'N'], ['N01BB', 'N01B', 'N01', 'N'], ['N01BB', 'N01B', 'N01', 'N']]",C07529
DB00304,Desogestrel,"['G03AC09', 'G03FB10', 'G03AB05', 'G03AA09']","[['G03AC', 'G03A', 'G03', 'G'], ['G03FB', 'G03F', 'G03', 'G'], ['G03AB', 'G03A', 'G03', 'G'], ['G03AA', 'G03A', 'G03', 'G']]",C07629
DB00305,Mitomycin,['L01DC03'],"[['L01DC', 'L01D', 'L01', 'L']]",C06681
DB00308,Ibutilide,['C01BD05'],"[['C01BD', 'C01B', 'C01', 'C']]",C07753
DB00312,Pentobarbital,"['N05CB01', 'N05CA01']","[['N05CB', 'N05C', 'N05', 'N'], ['N05CA', 'N05C', 'N05', 'N']]",C07422
DB00313,Valproic acid,['N03AG01'],"[['N03AG', 'N03A', 'N03', 'N']]",C07185
DB00315,Zolmitriptan,['N02CC03'],"[['N02CC', 'N02C', 'N02', 'N']]",C07218
DB00316,Acetaminophen,"['N02BE71', 'N02BE01', 'N02AJ13', 'N02AJ17', 'N02BE51', 'N02AJ06', 'N02AJ01']","[['N02BE', 'N02B', 'N02', 'N'], ['N02BE', 'N02B', 'N02', 'N'], ['N02AJ', 'N02A', 'N02', 'N'], ['N02AJ', 'N02A', 'N02', 'N'], ['N02BE', 'N02B', 'N02', 'N'], ['N02AJ', 'N02A', 'N02', 'N'], ['N02AJ', 'N02A', 'N02', 'N']]",C06804
DB00318,Codeine,"['N02AA79', 'R05DA04', 'N02AA59', 'N02AJ08', 'N02AJ06', 'N02AJ07']","[['N02AA', 'N02A', 'N02', 'N'], ['R05DA', 'R05D', 'R05', 'R'], ['N02AA', 'N02A', 'N02', 'N'], ['N02AJ', 'N02A', 'N02', 'N'], ['N02AJ', 'N02A', 'N02', 'N'], ['N02AJ', 'N02A', 'N02', 'N']]",C06174
DB00320,Dihydroergotamine,"['N02CA51', 'N02CA01']","[['N02CA', 'N02C', 'N02', 'N'], ['N02CA', 'N02C', 'N02', 'N']]",C07798
DB00321,Amitriptyline,"['N06AA09', 'N06CA01']","[['N06AA', 'N06A', 'N06', 'N'], ['N06CA', 'N06C', 'N06', 'N']]",C06824
DB00322,Floxuridine,['L01BC09'],"[['L01BC', 'L01B', 'L01', 'L']]",C11736
DB00323,Tolcapone,['N04BX01'],"[['N04BX', 'N04B', 'N04', 'N']]",C07949
DB00325,Nitroprusside,['C02DD01'],"[['C02DD', 'C02D', 'C02', 'C']]",C07269
DB00327,Hydromorphone,"['N02AA53', 'N02AA03', 'N02AG04']","[['N02AA', 'N02A', 'N02', 'N'], ['N02AA', 'N02A', 'N02', 'N'], ['N02AG', 'N02A', 'N02', 'N']]",C07042
DB00328,Indomethacin,"['S01CC02', 'M01AB51', 'S01BC01', 'M02AA23', 'M01AB01', 'C01EB03']","[['S01CC', 'S01C', 'S01', 'S'], ['M01AB', 'M01A', 'M01', 'M'], ['S01BC', 'S01B', 'S01', 'S'], ['M02AA', 'M02A', 'M02', 'M'], ['M01AB', 'M01A', 'M01', 'M'], ['C01EB', 'C01E', 'C01', 'C']]",C01926
DB00331,Metformin,"['A10BD23', 'A10BD02', 'A10BD18', 'A10BD11', 'A10BD25', 'A10BA02', 'A10BD22', 'A10BD14', 'A10BD16', 'A10BD17', 'A10BD05', 'A10BD15', 'A10BD07', 'A10BD10', 'A10BD13', 'A10BD26', 'A10BD20', 'A10BD08', 'A10BD27', 'A10BD03']","[['A10BD', 'A10B', 'A10', 'A'], ['A10BD', 'A10B', 'A10', 'A'], ['A10BD', 'A10B', 'A10', 'A'], ['A10BD', 'A10B', 'A10', 'A'], ['A10BD', 'A10B', 'A10', 'A'], ['A10BA', 'A10B', 'A10', 'A'], ['A10BD', 'A10B', 'A10', 'A'], ['A10BD', 'A10B', 'A10', 'A'], ['A10BD', 'A10B', 'A10', 'A'], ['A10BD', 'A10B', 'A10', 'A'], ['A10BD', 'A10B', 'A10', 'A'], ['A10BD', 'A10B', 'A10', 'A'], ['A10BD', 'A10B', 'A10', 'A'], ['A10BD', 'A10B', 'A10', 'A'], ['A10BD', 'A10B', 'A10', 'A'], ['A10BD', 'A10B', 'A10', 'A'], ['A10BD', 'A10B', 'A10', 'A'], ['A10BD', 'A10B', 'A10', 'A'], ['A10BD', 'A10B', 'A10', 'A'], ['A10BD', 'A10B', 'A10', 'A']]",C07151
DB00332,Ipratropium,"['R03BB01', 'R01AX03', 'R03AL01', 'R03AL02']","[['R03BB', 'R03B', 'R03', 'R'], ['R01AX', 'R01A', 'R01', 'R'], ['R03AL', 'R03A', 'R03', 'R'], ['R03AL', 'R03A', 'R03', 'R']]",C07052
DB00333,Methadone,"['N07BC02', 'N02AC52']","[['N07BC', 'N07B', 'N07', 'N'], ['N02AC', 'N02A', 'N02', 'N']]",C07163
DB00334,Olanzapine,"['N05AH53', 'N05AH03']","[['N05AH', 'N05A', 'N05', 'N'], ['N05AH', 'N05A', 'N05', 'N']]",C07322
DB00338,Omeprazole,"['A02BC01', 'A02BD05', 'A02BD16', 'A02BD01']","[['A02BC', 'A02B', 'A02', 'A'], ['A02BD', 'A02B', 'A02', 'A'], ['A02BD', 'A02B', 'A02', 'A'], ['A02BD', 'A02B', 'A02', 'A']]",C07324
DB00341,Cetirizine,"['S01GX12', 'R06AE07']","[['S01GX', 'S01G', 'S01', 'S'], ['R06AE', 'R06A', 'R06', 'R']]",C07778
DB00342,Terfenadine,['R06AX12'],"[['R06AX', 'R06A', 'R06', 'R']]",C07463
DB00343,Diltiazem,"['C08DB01', 'C05AE03']","[['C08DB', 'C08D', 'C08', 'C'], ['C05AE', 'C05A', 'C05', 'C']]",C06958
DB00344,Protriptyline,['N06AA11'],"[['N06AA', 'N06A', 'N06', 'N']]",C07408
DB00351,Megestrol acetate,"['G03FB04', 'G03DB02', 'G03FA08', 'G03AC05', 'L02AB01', 'G03AA04', 'G03AB01']","[['G03FB', 'G03F', 'G03', 'G'], ['G03DB', 'G03D', 'G03', 'G'], ['G03FA', 'G03F', 'G03', 'G'], ['G03AC', 'G03A', 'G03', 'G'], ['L02AB', 'L02A', 'L02', 'L'], ['G03AA', 'G03A', 'G03', 'G'], ['G03AB', 'G03A', 'G03', 'G']]",C08151
DB00352,Tioguanine,['L01BB03'],"[['L01BB', 'L01B', 'L01', 'L']]",C07648
DB00354,Buclizine,"['R06AE51', 'R06AE01']","[['R06AE', 'R06A', 'R06', 'R'], ['R06AE', 'R06A', 'R06', 'R']]",C07777
DB00356,Chlorzoxazone,"['M03BB03', 'M03BB53', 'M03BB73']","[['M03BB', 'M03B', 'M03', 'M'], ['M03BB', 'M03B', 'M03', 'M'], ['M03BB', 'M03B', 'M03', 'M']]",C07931
DB00357,Aminoglutethimide,['L02BG01'],"[['L02BG', 'L02B', 'L02', 'L']]",C07617
DB00358,Mefloquine,"['P01BF02', 'P01BC02']","[['P01BF', 'P01B', 'P01', 'P'], ['P01BC', 'P01B', 'P01', 'P']]",C07633
DB00360,Sapropterin,['A16AX07'],"[['A16AX', 'A16A', 'A16', 'A']]",C00272
DB00363,Clozapine,['N05AH02'],"[['N05AH', 'N05A', 'N05', 'N']]",C06924
DB00364,Sucralfate,['A02BX02'],"[['A02BX', 'A02B', 'A02', 'A']]",C07314
DB00367,Levonorgestrel,"['G03AB03', 'G03AD01', 'G03AC03', 'G03FB09', 'G03AA07', 'G03FA11']","[['G03AB', 'G03A', 'G03', 'G'], ['G03AD', 'G03A', 'G03', 'G'], ['G03AC', 'G03A', 'G03', 'G'], ['G03FB', 'G03F', 'G03', 'G'], ['G03AA', 'G03A', 'G03', 'G'], ['G03FA', 'G03F', 'G03', 'G']]",C08153
DB00368,Norepinephrine,['C01CA03'],"[['C01CA', 'C01C', 'C01', 'C']]",C00547
DB00370,Mirtazapine,['N06AX11'],"[['N06AX', 'N06A', 'N06', 'N']]",C07570
DB00372,Thiethylperazine,['R06AD03'],"[['R06AD', 'R06A', 'R06', 'R']]",C07132
DB00373,Timolol,"['C07AA06', 'S01ED51', 'C07BA06', 'C07DA06', 'S01ED01']","[['C07AA', 'C07A', 'C07', 'C'], ['S01ED', 'S01E', 'S01', 'S'], ['C07BA', 'C07B', 'C07', 'C'], ['C07DA', 'C07D', 'C07', 'C'], ['S01ED', 'S01E', 'S01', 'S']]",C07141
DB00375,Colestipol,['C10AC02'],"[['C10AC', 'C10A', 'C10', 'C']]",C06925
DB00376,Trihexyphenidyl,['N04AA01'],"[['N04AA', 'N04A', 'N04', 'N']]",C07171
DB00379,Mexiletine,['C01BB02'],"[['C01BB', 'C01B', 'C01', 'C']]",C07220
DB00381,Amlodipine,"['C09BB13', 'C09BB04', 'C10BX18', 'C07FB12', 'C09DB05', 'C09XA53', 'C10BX03', 'C09BX04', 'C09DB07', 'C09DX06', 'C09BX01', 'C10BX11', 'C09DB02', 'C10BX09', 'C09DX01', 'C10BX19', 'C09DB01', 'C09XA54', 'C10BX07', 'C09BB03', 'C07FB07', 'C09DB06', 'C07FB13', 'C09DX08', 'C08CA01', 'C09BX03', 'C09DB04', 'C09DX03', 'C08GA02', 'C08CA51', 'C09DB09', 'C10BX14', 'C09BB07', 'C09DX07']","[['C09BB', 'C09B', 'C09', 'C'], ['C09BB', 'C09B', 'C09', 'C'], ['C10BX', 'C10B', 'C10', 'C'], ['C07FB', 'C07F', 'C07', 'C'], ['C09DB', 'C09D', 'C09', 'C'], ['C09XA', 'C09X', 'C09', 'C'], ['C10BX', 'C10B', 'C10', 'C'], ['C09BX', 'C09B', 'C09', 'C'], ['C09DB', 'C09D', 'C09', 'C'], ['C09DX', 'C09D', 'C09', 'C'], ['C09BX', 'C09B', 'C09', 'C'], ['C10BX', 'C10B', 'C10', 'C'], ['C09DB', 'C09D', 'C09', 'C'], ['C10BX', 'C10B', 'C10', 'C'], ['C09DX', 'C09D', 'C09', 'C'], ['C10BX', 'C10B', 'C10', 'C'], ['C09DB', 'C09D', 'C09', 'C'], ['C09XA', 'C09X', 'C09', 'C'], ['C10BX', 'C10B', 'C10', 'C'], ['C09BB', 'C09B', 'C09', 'C'], ['C07FB', 'C07F', 'C07', 'C'], ['C09DB', 'C09D', 'C09', 'C'], ['C07FB', 'C07F', 'C07', 'C'], ['C09DX', 'C09D', 'C09', 'C'], ['C08CA', 'C08C', 'C08', 'C'], ['C09BX', 'C09B', 'C09', 'C'], ['C09DB', 'C09D', 'C09', 'C'], ['C09DX', 'C09D', 'C09', 'C'], ['C08GA', 'C08G', 'C08', 'C'], ['C08CA', 'C08C', 'C08', 'C'], ['C09DB', 'C09D', 'C09', 'C'], ['C10BX', 'C10B', 'C10', 'C'], ['C09BB', 'C09B', 'C09', 'C'], ['C09DX', 'C09D', 'C09', 'C']]",C06825
DB00382,Tacrine,['N06DA01'],"[['N06DA', 'N06D', 'N06', 'N']]",C01453
DB00383,Oxyphencyclimine,"['A03AA01', 'A03CA03']","[['A03AA', 'A03A', 'A03', 'A'], ['A03CA', 'A03C', 'A03', 'A']]",C07851
DB00387,Procyclidine,['N04AA04'],"[['N04AA', 'N04A', 'N04', 'N']]",C07378
